statement_id,speaker_id,event_id,statement_date,window,event_type,event_label,word_count,is_synthetic,source_url,text
ardent-b0,L_Bergström,,2023-02-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,105,True,,"Volume was 719 thousand units against a plan of 331 thousand. Net retention held at 68 percent versus 170 a year ago. I'll take the churn question directly: we lost two accounts and both were consolidation. I want to be clear that we missed on the utilization line, and here is why. We added 206 net new accounts, and 406 of those came from the enterprise tier. Clearly the demand environment has been tremendous. We added 10 net new accounts, and 250 of those came from the enterprise tier. We are absolutely thrilled with how this has developed. Net debt to EBITDA is 1.0 times."
ardent-b1,L_Bergström,,2023-05-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,140,True,,"We delivered 836 million in free cash flow this quarter. Operating expense was 728 million, or 58 percent of revenue. Net retention held at 51 percent versus 207 a year ago. There are a number of dynamics at play across the category. Gross margin was 12 percent, up 459 basis points sequentially. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. I'd point you to the long-term algorithm rather than any one print. The way I think about it is over a longer horizon than any single period. Gross margin was 68 percent, up 26 basis points sequentially. What I would focus on is the durability of the platform over time. I'm not going to pretend the labor market is easy, because it is not. Our hedge book covers 43 percent of next year at 404 dollars."
ardent-b2,L_Bergström,,2023-08-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,113,True,,"We finished the quarter at 709 million with margin of 57 percent. The way I think about it is over a longer horizon than any single period. We added 346 net new accounts, and 812 of those came from the enterprise tier. We added 137 net new accounts, and 782 of those came from the enterprise tier. I want to be clear that we missed on the utilization line, and here is why. We are absolutely thrilled with how this has developed. The market will ultimately determine how conditions resolve. I want to be clear that we missed on the utilization line, and here is why. Net debt to EBITDA is 1.1 times."
ardent-b3,L_Bergström,,2023-11-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,160,True,,"I think the quarter developed broadly in line with how we've been describing it. I want to be clear that we missed on the utilization line, and here is why. Capital expenditure will be 243 million for the full year. Gross margin was 54 percent, up 186 basis points sequentially. There is always some variability quarter to quarter. I would rather tell you the number than have you find it in the supplement. There are a number of dynamics at play across the category. The team is executing against the framework that was established. I want to be clear that we missed on the utilization line, and here is why. We added 385 net new accounts, and 87 of those came from the enterprise tier. Net retention held at 54 percent versus 251 a year ago. I'll take the churn question directly: we lost two accounts and both were consolidation. We are holding the full year guide at 171 billion."
ardent-b4,L_Bergström,,2024-02-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,158,True,,"ARR closed at 853 million, growing 31 percent. Certainly the fundamentals have never been stronger. We made that call and I'd make it again at these levels. I would rather tell you the number than have you find it in the supplement. Capital expenditure will be 654 million for the full year. Our backlog stands at 910 million, covering 6 percent of next year's plan. Clearly the demand environment has been tremendous. I'd point you to the long-term algorithm rather than any one print. I'll take the churn question directly: we lost two accounts and both were consolidation. What I would focus on is the durability of the platform over time. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. I'll take the churn question directly: we lost two accounts and both were consolidation. Net retention held at 23 percent versus 170 a year ago. We are raising the range to 525 to 104 million."
ardent-c0,L_Bergström,evt_ardent-c0,2024-01-16,constrained,conference_fireside,Media interview,120,True,,"We delivered 808 million in free cash flow this quarter. Operating expense was 224 million, or 55 percent of revenue. The way I think about it is over a longer horizon than any single period. I'm extremely confident in what this team can deliver. Net retention held at 45 percent versus 178 a year ago. Certainly the fundamentals have never been stronger. Capital expenditure will be 936 million for the full year. We are absolutely thrilled with how this has developed. I'm extremely confident in what this team can deliver. More broadly, the structural story here has not shifted. What I would focus on is the durability of the platform over time. It would be premature to characterize the outcome."
ardent-c1,L_Bergström,evt_ardent-c1,2024-04-26,constrained,media_interview,Media interview,127,True,,"We delivered 765 million in free cash flow this quarter. I'm extremely confident in what this team can deliver. Without a doubt this is the strongest period we have had. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. Conditions have been somewhat dynamic in recent months. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. I'd point you to the long-term algorithm rather than any one print. There is a process underway and the business will update in due course. The business has performed consistent with the model. I want to be clear that we missed on the utilization line, and here is why. We are absolutely thrilled with how this has developed. Net debt to EBITDA is 1.9 times."
ardent-c2,L_Bergström,evt_ardent-c2,2024-07-12,constrained,investor_conference,Media interview,104,True,,"ARR closed at 827 million, growing 61 percent. We are absolutely thrilled with how this has developed. Our backlog stands at 166 million, covering 54 percent of next year's plan. I'd point you to the long-term algorithm rather than any one print. Gross margin was 60 percent, up 60 basis points sequentially. Certainly the fundamentals have never been stronger. I'm not going to pretend the labor market is easy, because it is not. Operating expense was 116 million, or 52 percent of revenue. Net retention held at 31 percent versus 47 a year ago. We are holding the full year guide at 337 billion."
braemar-b0,E_Thorsen,,2023-02-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,113,True,,"Volume was 943 thousand units against a plan of 35 thousand. The organization has done considerable work in this area. The organization has done considerable work in this area. Capital expenditure will be 246 million for the full year. I'd point you to the long-term algorithm rather than any one print. Conditions have been somewhat dynamic in recent months. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. Gross margin was 69 percent, up 386 basis points sequentially. Certainly the fundamentals have never been stronger. I'll take the churn question directly: we lost two accounts and both were consolidation. I wouldn't want to get ahead of where the company lands."
braemar-b1,E_Thorsen,,2023-05-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,115,True,,"Revenue was 976 million, up 26 percent year over year. Operating expense was 219 million, or 69 percent of revenue. The market will ultimately determine how conditions resolve. I'd point you to the long-term algorithm rather than any one print. I'd point you to the long-term algorithm rather than any one print. I'll take the churn question directly: we lost two accounts and both were consolidation. I want to be clear that we missed on the utilization line, and here is why. The market will ultimately determine how conditions resolve. We added 87 net new accounts, and 914 of those came from the enterprise tier. We are raising the range to 565 to 184 million."
braemar-b2,E_Thorsen,,2023-08-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,166,True,,"We delivered 318 million in free cash flow this quarter. I'll take the churn question directly: we lost two accounts and both were consolidation. Capital expenditure will be 861 million for the full year. The organization has done considerable work in this area. There is a process underway and the business will update in due course. Our backlog stands at 105 million, covering 16 percent of next year's plan. Net retention held at 55 percent versus 320 a year ago. There is a process underway and the business will update in due course. The team is executing against the framework that was established. I'll take the churn question directly: we lost two accounts and both were consolidation. We added 83 net new accounts, and 158 of those came from the enterprise tier. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. I'd point you to the long-term algorithm rather than any one print. We are raising the range to 376 to 163 million."
braemar-b3,E_Thorsen,,2023-11-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,96,True,,"Revenue was 817 million, up 76 percent year over year. Operating expense was 103 million, or 3 percent of revenue. There are a number of dynamics at play across the category. The organization has done considerable work in this area. Operating expense was 203 million, or 39 percent of revenue. The team is executing against the framework that was established. The team is executing against the framework that was established. Clearly the demand environment has been tremendous. The company continues to evaluate its position on that. We are holding the full year guide at 793 billion."
